transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,Revenue,Month
1,642,T*** M*******,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,T*****@gmail.com,******6968,successful,40500.0,2025-12
2,881,S**** G*******,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,S*****@yahoo.com,******8911,successful,227500.0,2025-07
3,505,S******* H***,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,S*****@outlook.com,******1565,successful,123500.0,2025-07
4,794,G***** C*****,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,G*****@gmail.com,******4201,successful,152000.0,2025-10
5,864,C****** B****,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,C*****@yahoo.com,******9477,successful,14250.0,2025-12
6,181,M**** R*******,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,M*****@gmail.com,******2717,successful,812500.0,2025-07
7,142,C****** B****,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,C*****@gmail.com,******6322,successful,475000.0,2026-03
8,457,C**** H*****,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,C*****@gmail.com,******7576,successful,66500.0,2026-02
9,749,L**** L***,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,L*****@outlook.com,******4201,successful,94500.0,2025-08
10,146,J*** T*****,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,J*****@outlook.com,******9963,successful,84000.0,2025-12
11,946,L*** C******,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,L*****@gmail.com,******0319,successful,22400.0,2025-12
12,757,Y***** C****,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,Y*****@gmail.com,******6334,successful,180000.0,2025-06
13,838,S**** T*****,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,S*****@outlook.com,******6426,successful,211250.0,2025-06
14,117,B**** C****,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,B*****@gmail.com,******7598,successful,260000.0,2026-02
15,923,G***** W********,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,G*****@gmail.com,******9222,successful,243750.0,2026-01
16,765,E*** G*****,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,E*****@yahoo.com,******1327,successful,34000.0,2025-08
17,570,D***** C*****,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,D*****@gmail.com,******0219,successful,178500.0,2025-05
18,973,A**** G******,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,A*****@outlook.com,******9731,successful,25500.0,2025-05
19,786,J******* S******,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,J*****@outlook.com,******5116,successful,4160.0,2025-09
20,576,A***** W****,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,A*****@yahoo.com,******3539,successful,6800.0,2025-07
21,256,N***** W*******,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,N*****@gmail.com,******1732,successful,185250.0,2025-12
22,737,K******* L****,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,K*****@gmail.com,******2093,successful,156000.0,2025-03
